"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Kyle Rudolph",3000,"Min@Chi 01:00PM ET",8.050,"Min"
"WR","Russell Shepard",3000,"TB@Atl 01:00PM ET",0.533,"TB"
"RB","Zurlon Tipton",3000,"Ind@Car 08:30PM ET",0.225,"Ind"
"RB","Tommy Bohanon",3000,"NYJ@Oak 04:05PM ET",0.967,"NYJ"
"WR","Markus Wheaton",3000,"Cin@Pit 01:00PM ET",6.457,"Pit"
"RB","Rex Burkhead",3000,"Cin@Pit 01:00PM ET",1.283,"Cin"
"RB","Benny Cunningham",3000,"SF@StL 01:00PM ET",6.583,"StL"
"RB","Nikita Whitlock",3000,"NYG@NO 01:00PM ET",0.000,"NYG"
"RB","Kyle Juszczyk",3000,"SD@Bal 01:00PM ET",5.714,"Bal"
"RB","Stepfan Taylor",3000,"Ari@Cle 01:00PM ET",0.357,"Ari"
"RB","Zac Stacy",3000,"NYJ@Oak 04:05PM ET",4.940,"NYJ"
"RB","Branden Oliver",3000,"SD@Bal 01:00PM ET",4.229,"SD"
"WR","Dri Archer",3000,"Cin@Pit 01:00PM ET",0.000,"Pit"
"WR","Rico Richardson",3000,"Ten@Hou 01:00PM ET",0.000,"Ten"
"RB","Brandon Wegher",3000,"Ind@Car 08:30PM ET",0,"Car"
"WR","Kevin Norwood",3000,"Ind@Car 08:30PM ET",0.000,"Car"
"RB","Trey Watts",3000,"SF@StL 01:00PM ET",0.000,"StL"
"WR","Ricardo Lockette",3000,"Sea@Dal 04:25PM ET",2.229,"Sea"
"RB","Christine Michael",3000,"Sea@Dal 04:25PM ET",1.167,"Dal"
"WR","Bennie Fowler",3000,"GB@Den 08:30PM ET",2.950,"Den"
"WR","Jared Abbrederis",3000,"GB@Den 08:30PM ET",0.000,"GB"
"WR","Nick Williams",3000,"TB@Atl 01:00PM ET",2.686,"Atl"
"WR","Devin Street",3000,"Sea@Dal 04:25PM ET",2.433,"Dal"
"WR","Marlon Brown",3000,"SD@Bal 01:00PM ET",3.371,"Bal"
"WR","Chris Matthews",3000,"Sea@Dal 04:25PM ET",1.343,"Sea"
"WR","Stedman Bailey",3000,"SF@StL 01:00PM ET",5.483,"StL"
"RB","Spencer Ware",3000,"Det@KC 09:30AM ET",0.400,"KC"
"WR","Justin Hunter",3000,"Ten@Hou 01:00PM ET",5.217,"Ten"
"RB","Jay Prosch",3000,"Ten@Hou 01:00PM ET",0.400,"Hou"
"RB","Jalston Fowler",3000,"Ten@Hou 01:00PM ET",1.683,"Ten"
"WR","TJ Jones",3000,"Det@KC 09:30AM ET",0.160,"Det"
"WR","Kenbrell Thompkins",3000,"NYJ@Oak 04:05PM ET",0,"NYJ"
"RB","Roosevelt Nix",3000,"Cin@Pit 01:00PM ET",0.000,"Pit"
"WR","Rod Streater",3000,"NYJ@Oak 04:05PM ET",1.800,"Oak"
"RB","Marcus Murphy",3000,"NYG@NO 01:00PM ET",0.857,"NO"
"RB","Andre Williams",3000,"NYG@NO 01:00PM ET",3.143,"NYG"
"RB","Rod Smith",3000,"Sea@Dal 04:25PM ET",0.500,"Dal"
"WR","Joshua Bellamy",3000,"Min@Chi 01:00PM ET",3.483,"Chi"
"WR","Walt Powell",3000,"NYJ@Oak 04:05PM ET",0,"Oak"
"RB","Malcolm Johnson",3000,"Ari@Cle 01:00PM ET",0.629,"Cle"
"RB","Juwan Thompson",3000,"GB@Den 08:30PM ET",0.740,"Den"
"WR","Brandon Coleman",3000,"NYG@NO 01:00PM ET",4.243,"NO"
"RB","Michael Burton",3000,"Det@KC 09:30AM ET",0.443,"Det"
"WR","Albert Wilson",3000,"Det@KC 09:30AM ET",6.060,"KC"
"WR","DeAndrew White",3000,"SF@StL 01:00PM ET",1.267,"SF"
"WR","Keith Mumphery",3000,"Ten@Hou 01:00PM ET",3.657,"Hou"
"RB","Jeremy Langford",3000,"Min@Chi 01:00PM ET",3.417,"Chi"
"WR","Justin Hardy",3000,"TB@Atl 01:00PM ET",0,"Atl"
"WR","J.J. Nelson",3000,"Ari@Cle 01:00PM ET",-0.333,"Ari"
"WR","Cecil Shorts III",3000,"Ten@Hou 01:00PM ET",12.180,"Hou"
"WR","Andre Holmes",3000,"NYJ@Oak 04:05PM ET",2.550,"Oak"
"WR","Corey Fuller",3000,"Det@KC 09:30AM ET",1.350,"Det"
"WR","Geremy Davis",3000,"NYG@NO 01:00PM ET",0.586,"NYG"
"RB","Jamize Olawale",3000,"NYJ@Oak 04:05PM ET",1.775,"Oak"
"WR","Cameron Meredith",3000,"Min@Chi 01:00PM ET",3.500,"Chi"
"RB","Jerick McKinnon",3000,"Min@Chi 01:00PM ET",2.117,"Min"
"WR","Corey Brown",3000,"Ind@Car 08:30PM ET",5.500,"Car"
"RB","Terrence Magee",3000,"SD@Bal 01:00PM ET",0.000,"Bal"
"RB","Terron Ward",3000,"TB@Atl 01:00PM ET",3.043,"Atl"
"WR","Chris Conley",3000,"Det@KC 09:30AM ET",4.914,"KC"
"WR","Quinton Patton",3000,"SF@StL 01:00PM ET",4.443,"SF"
"WR","Sammie Coates",3000,"Cin@Pit 01:00PM ET",0.420,"Pit"
"RB","Ka'Deem Carey",3000,"Min@Chi 01:00PM ET",0.000,"Chi"
"RB","Terrance West",3000,"Ten@Hou 01:00PM ET",1.550,"Ten"
"WR","Phillip Dorsett",3000,"Ind@Car 08:30PM ET",4.729,"Ind"
"WR","Darren Waller",3000,"SD@Bal 01:00PM ET",0.633,"Bal"
"RB","Alonzo Harris",3000,"GB@Den 08:30PM ET",0.567,"GB"
"WR","Bruce Ellington",3000,"SF@StL 01:00PM ET",2.100,"SF"
"WR","Tyler Lockett",3000,"Sea@Dal 04:25PM ET",7.971,"Sea"
"RB","Aaron Ripkowski",3000,"GB@Den 08:30PM ET",0.000,"GB"
"WR","Bradley Marquez",3000,"SF@StL 01:00PM ET",0.000,"StL"
"WR","Devin Smith",3000,"NYJ@Oak 04:05PM ET",3.000,"NYJ"
"RB","Raheem Mostert",3000,"SD@Bal 01:00PM ET",0.000,"Bal"
"RB","Josh Robinson",3000,"Ind@Car 08:30PM ET",2.440,"Ind"
"TE","Richard Rodgers",3000,"GB@Den 08:30PM ET",9.167,"GB"
"WR","De'Anthony Thomas",3000,"Det@KC 09:30AM ET",3.543,"KC"
"WR","Cody Latimer",3000,"GB@Den 08:30PM ET",0.000,"Den"
"WR","Brittan Golden",3000,"Ari@Cle 01:00PM ET",0.000,"Ari"
"WR","Cordarrelle Patterson",3000,"Min@Chi 01:00PM ET",0.650,"Min"
"RB","Mike Davis",3000,"SF@StL 01:00PM ET",1.475,"SF"
"WR","Devin Funchess",3000,"Ind@Car 08:30PM ET",2.367,"Car"
"WR","Seth Roberts",3000,"NYJ@Oak 04:05PM ET",4.767,"Oak"
"RB","Cameron Artis-Payne",3000,"Ind@Car 08:30PM ET",0.775,"Car"
"WR","Lucky Whitehead",3000,"Sea@Dal 04:25PM ET",0.840,"Dal"
"WR","Jaelen Strong",3000,"Ten@Hou 01:00PM ET",6.933,"Hou"
"WR","Adam Thielen",3000,"Min@Chi 01:00PM ET",3.433,"Min"
"RB","Khiry Robinson",3000,"NYG@NO 01:00PM ET",9.543,"NO"
"WR","Mario Alford",3000,"Cin@Pit 01:00PM ET",0,"Cin"
"WR","Taylor Gabriel",3000,"Ari@Cle 01:00PM ET",5.171,"Cle"
"WR","Donteea Dye",3000,"TB@Atl 01:00PM ET",3.850,"TB"
"DST","Broncos",2900,"GB@Den 08:30PM ET",17.167,"Den"
"DST","Jets",2900,"NYJ@Oak 04:05PM ET",8.333,"NYJ"
"TE","Vernon Davis",2900,"SF@StL 01:00PM ET",5.800,"SF"
"DST","Chiefs",2800,"Det@KC 09:30AM ET",6.286,"KC"
"TE","Coby Fleener",2800,"Ind@Car 08:30PM ET",7.357,"Ind"
"TE","Austin Seferian-Jenkins",2800,"TB@Atl 01:00PM ET",17.950,"TB"
"DST","Cowboys",2700,"Sea@Dal 04:25PM ET",4.500,"Dal"
"DST","Giants",2700,"NYG@NO 01:00PM ET",9.714,"NYG"
"TE","Heath Miller",2700,"Cin@Pit 01:00PM ET",5.971,"Pit"
"TE","Jacob Tamme",2700,"TB@Atl 01:00PM ET",8.100,"Atl"
"DST","Lions",2600,"Det@KC 09:30AM ET",7.143,"Det"
"DST","Steelers",2600,"Cin@Pit 01:00PM ET",7.857,"Pit"
"TE","Owen Daniels",2600,"GB@Den 08:30PM ET",5.750,"Den"
"TE","Jared Cook",2600,"SF@StL 01:00PM ET",5.800,"StL"
"TE","Clive Walford",2600,"NYJ@Oak 04:05PM ET",3.167,"Oak"
"DST","Titans",2500,"Ten@Hou 01:00PM ET",7.000,"Ten"
"TE","Mike Leach",2500,"Ari@Cle 01:00PM ET",0.000,"Ari"
"TE","Craig Stevens",2500,"Ten@Hou 01:00PM ET",1.383,"Ten"
